time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-22T15:36:50.040Z,19.195499420166,-155.49766540527,35.509998321533,2.25999999,md,46.0,77.0,0.05215,0.150000006,hv,hv74507751,2024-10-22T15:38:37.230Z,"2 km WSW of Pāhala, Hawaii",earthquake,0.63,0.540000021,0.0700000003,3.0,automatic,hv,hv
2024-10-22T15:10:50.350Z,19.181833333333,-155.37633333333,30.9,1.51,md,24.0,216.0,0.1335,0.1,hv,hv74507721,2024-10-22T21:13:29.070Z,"11 km ESE of Pāhala, Hawaii",earthquake,0.77,0.77,0.031895451781562,6.0,reviewed,hv,hv
2024-10-22T15:06:16.970Z,38.557666666667,-112.713,9.33,1.42,ml,23.0,79.0,0.08946,0.12,uu,uu80084861,2024-10-22T15:36:42.930Z,"31 km NE of Milford, Utah",earthquake,0.4,0.84,0.14119379927,5.0,reviewed,uu,uu
2024-10-22T14:57:37.307Z,59.8432,-152.6586,92.7,1.9,ml,,,,0.67,ak,ak024dlrr3c2,2024-10-22T14:59:51.663Z,"47 km W of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-10-22T14:55:21.750Z,39.346332550049,-123.24800109863,2.7799999713898,1.43,md,5.0,102.0,0.09695,0.05,nc,nc75077336,2024-10-22T15:17:17.016Z,"10 km NNW of Redwood Valley, CA",earthquake,0.42,8.72999954,0.22,4.0,automatic,nc,nc
2024-10-22T14:48:43.810Z,58.579166666667,-154.7025,10.72,0.29,ml,6.0,150.0,0.08129,0.18,av,av93326753,2024-10-23T01:14:05.270Z,"95 km S of Kokhanok, Alaska",earthquake,0.55,0.98,0.17232514739903,6.0,reviewed,av,av
2024-10-22T14:48:09.760Z,48.972666666667,-120.48266666667,9.4,1.74,ml,12.0,112.0,0.5656,0.51,uw,uw62055971,2024-10-22T19:03:48.490Z,"54 km S of Princeton, Canada",earthquake,0.84,6.77,0.19006824768989,8.0,reviewed,uw,uw
2024-10-22T14:47:04.440Z,19.45599937439,-155.44050598144,0.93999999761581,1.84,ml,54.0,34.0,0.06332,0.200000003,hv,hv74507696,2024-10-22T14:49:58.720Z,"21 km W of Volcano, Hawaii",earthquake,0.26,0.75,0.26,8.0,automatic,hv,hv
2024-10-22T14:45:41.890Z,60.032166666667,-153.07133333333,-1.06,0.0,ml,6.0,92.0,0.02556,0.05,av,av93326748,2024-10-23T01:12:19.730Z,"64 km ENE of Pedro Bay, Alaska",earthquake,0.19,1.79,0.26356649867951,6.0,reviewed,av,av
2024-10-22T14:36:40.040Z,33.9788333,-117.2025,12.03,1.08,ml,52.0,48.0,0.03993,0.16,ci,ci40960352,2024-10-22T14:55:04.900Z,"6 km NNE of Moreno Valley, CA",earthquake,0.16,0.38,0.192,27.0,reviewed,ci,ci
2024-10-22T14:34:20.570Z,46.892,-112.52733333333,10.97,0.92,ml,9.0,125.0,0.05835,0.04,mb,mb90064093,2024-10-22T15:14:21.940Z,"13 km ESE of Lincoln, Montana",earthquake,0.33,0.49,0.22723826265849,10.0,reviewed,mb,mb
2024-10-22T14:31:46.310Z,45.713166666667,-112.928,5.02,0.89,ml,4.0,154.0,0.238,0.05,mb,mb90064088,2024-10-22T15:08:05.190Z,"42 km ENE of Wisdom, Montana",earthquake,0.41,6.45,0.2250400459993,8.0,reviewed,mb,mb
2024-10-22T14:21:18.613Z,38.5251,-119.5114,5.1,2.1,ml,16.0,121.66,0.185,0.1147,nn,nn00886388,2024-10-22T16:06:08.238Z,"3 km WNW of Walker, California",earthquake,,1.6,0.24,6.0,reviewed,nn,nn
2024-10-22T14:13:10.340Z,35.0453333,-117.661,0.85,0.95,ml,29.0,46.0,0.1144,0.14,ci,ci40960320,2024-10-22T14:54:36.638Z,"5 km NNW of Boron, CA",earthquake,0.2,0.33,0.123,10.0,reviewed,ci,ci
2024-10-22T14:11:31.340Z,46.846666666667,-121.767,0.25,0.28,ml,18.0,65.0,0.0183,0.07,uw,uw62055966,2024-10-22T16:44:24.390Z,"22 km ENE of Ashford, Washington",earthquake,0.18,0.51,0.16610424784355,7.0,reviewed,uw,uw
2024-10-22T14:11:11.530Z,44.752166666667,-110.9065,7.58,0.15,md,12.0,97.0,0.05384,0.13,uu,uu80084856,2024-10-22T15:47:32.730Z,"18 km ENE of West Yellowstone, Montana",earthquake,0.31,0.87,0.1326985195266,8.0,reviewed,uu,uu
2024-10-22T14:09:32.850Z,19.142166137695,-155.2799987793,39.340000152588,1.77999997,md,16.0,267.0,0.146,0.230000004,hv,hv74507656,2024-10-22T14:11:00.470Z,"21 km ESE of Pāhala, Hawaii",earthquake,1.8,1.32000005,0.899999976,3.0,automatic,hv,hv
2024-10-22T14:02:45.880Z,35.0728333,-119.0846667,14.24,1.39,ml,29.0,94.0,0.01422,0.17,ci,ci40960304,2024-10-22T23:14:44.575Z,"20 km NW of Grapevine, CA",earthquake,0.28,0.56,0.217,18.0,reviewed,ci,ci
2024-10-22T13:50:19.236Z,31.632,-104.457,4.2738,1.7,ml,16.0,106.0,0.0,0.6,tx,tx2024uuau,2024-10-22T13:59:17.337Z,"60 km S of Whites City, New Mexico",earthquake,0.0,1.531643986702,0.1,12.0,automatic,tx,tx
2024-10-22T13:44:47.500Z,35.0768333,-119.0836667,13.03,2.08,ml,46.0,82.0,0.01819,0.2,ci,ci40960264,2024-10-22T22:56:06.330Z,"20 km NW of Grapevine, CA",earthquake,0.22,0.69,0.18,26.0,reviewed,ci,ci
2024-10-22T13:43:39.990Z,35.0731667,-119.0885,14.08,1.12,ml,24.0,109.0,0.01504,0.19,ci,ci40960256,2024-10-22T22:42:19.811Z,"20 km NW of Grapevine, CA",earthquake,0.34,0.52,0.136,16.0,reviewed,ci,ci
2024-10-22T13:42:54.060Z,35.0713333,-119.0825,14.55,1.28,ml,26.0,101.0,0.01275,0.15,ci,ci40960248,2024-10-22T22:35:29.538Z,"20 km NW of Grapevine, CA",earthquake,0.23,0.47,0.167,18.0,reviewed,ci,ci
2024-10-22T13:41:56.590Z,35.077,-119.0828333,12.54,1.65,ml,37.0,95.0,0.01837,0.18,ci,ci40960240,2024-10-22T22:29:54.350Z,"20 km NW of Grapevine, CA",earthquake,0.25,0.79,0.151,26.0,reviewed,ci,ci
